epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.1875,1.609375,,
0,99,0.1875,1.6096222400665283,,
0,149,0.125,1.6095397472381592,,
0,151,,,0.20148330926895142,1.6092102527618408
1,199,0.25,1.6093394756317139,,
1,249,0.28125,1.6102263927459717,,
1,299,0.125,1.6093670129776,,
1,303,,,0.20148330926895142,1.6090532541275024
2,349,0.0625,1.6108582019805908,,
2,399,0.1875,1.6070048809051514,,
2,449,0.1875,1.610347867012024,,
2,455,,,0.20148330926895142,1.6088818311691284
3,499,0.1875,1.61211359500885,,
3,549,0.125,1.6123802661895752,,
3,599,0.09375,1.6122783422470093,,
3,607,,,0.20148330926895142,1.6086634397506714
4,649,0.3125,1.6010643243789673,,
4,699,0.1875,1.6093590259552002,,
4,749,0.21875,1.6150249242782593,,
4,759,,,0.20148330926895142,1.6086435317993164
