epoch,step,test_fusion_acc,train_acc,train_loss,val_acc,val_loss
0,49,,0.25,1.6663581132888794,,
0,99,,0.390625,1.6279109716415405,,
0,106,,,,0.40439561009407043,1.3903179168701172
1,149,,0.34375,1.6590466499328613,,
1,199,,0.375,1.5612859725952148,,
1,213,,,,0.46021977066993713,1.3634825944900513
2,249,,0.453125,1.4094105958938599,,
2,299,,0.40625,1.4826319217681885,,
2,320,,,,0.4487912058830261,1.3203191757202148
3,349,,0.46875,1.5139868259429932,,
3,399,,0.421875,1.4139378070831299,,
3,427,,,,0.4905494451522827,1.3105119466781616
4,449,,0.65625,1.3023463487625122,,
4,499,,0.578125,1.3675085306167603,,
4,534,,,,0.5028571486473083,1.3033331632614136
5,549,,0.53125,1.3575962781906128,,
5,599,,0.578125,1.3399178981781006,,
5,641,,,,0.4958241879940033,1.2948130369186401
6,649,,0.578125,1.3596274852752686,,
6,699,,0.578125,1.2979223728179932,,
6,748,,,,0.48087912797927856,1.3005402088165283
7,749,,0.71875,1.1610186100006104,,
7,799,,0.71875,1.149275302886963,,
7,849,,0.546875,1.398030400276184,,
7,855,,,,0.5138461589813232,1.3156510591506958
8,899,,0.515625,1.3040540218353271,,
8,949,,0.59375,1.2443301677703857,,
8,962,,,,0.48087912797927856,1.3040215969085693
9,999,,0.65625,1.1501764059066772,,
9,1049,,0.609375,1.2229397296905518,,
9,1069,,,,0.43780219554901123,1.306627631187439
10,1099,,0.640625,1.2007145881652832,,
10,1149,,0.578125,1.2246078252792358,,
10,1176,,,,0.4901098906993866,1.32668936252594
11,1199,,0.640625,1.2284109592437744,,
11,1249,,0.75,1.1308263540267944,,
11,1283,,,,0.4786813259124756,1.345941424369812
12,1299,,0.734375,1.1550211906433105,,
12,1349,,0.65625,1.1674365997314453,,
12,1390,,,,0.5046153664588928,1.3475744724273682
13,1391,0.5813392400741577,,,,
